L	0.3122427	0.5803398	1477010443000000 	0.6	0.6	5.199937	0	5.199937
L	1.173848	0.4810729	1477010443100000 	1.119984	0.6002246	5.199429	0.005389957	5.199431794
L	1.650626	0.6246904	1477010443200000 	1.639904	0.6013473	5.198392	0.0179597	5.198423024
L	2.188824	0.6487392	1477010443300000 	2.159704	0.6040855	5.196776	0.03769324	5.196912696
L	2.655256	0.6659798	1477010443400000 	2.679323	0.6091545	5.194504	0.06456542	5.194905245
L	3.012223	0.6370455	1477010443500000 	3.19869	0.6172666	5.19147	0.09854147	5.192405144
L	3.89365	0.311793	1477010443600000 	3.717722	0.6291305	5.187542	0.1395764	5.189419387
L	4.309346	0.5785637	1477010443700000 	4.236322	0.6454494	5.18256	0.187614	5.185954798
L	4.351431	0.8991741	1477010443800000 	4.754374	0.6669207	5.17634	0.2425866	5.182021233
L	5.518935	0.6482327	1477010443900000 	5.271746	0.6942343	5.168671	0.3044132	5.177627575
L	6.022003	0.7086193	1477010444000000 	5.788279	0.7280715	5.159319	0.3729989	5.17278462
L	6.342486	0.9488326	1477010444100000 	6.303794	0.769103	5.148029	0.4482333	5.16750575
L	6.782143	0.7140359	1477010444200000 	6.818081	0.8179882	5.134523	0.5299897	5.161803514
L	7.13735	0.9572165	1477010444300000 	7.330903	0.8753725	5.118505	0.6181232	5.155692943
L	7.805334	0.7191261	1477010444400000 	7.841995	0.9418861	5.099659	0.7124693	5.149187744
L	8.247959	0.8403219	1477010444500000 	8.351056	1.018142	5.077658	0.8128429	5.142307298
L	8.746145	1.048576	1477010444600000 	8.857753	1.104732	5.052156	0.9190366	5.135066555
L	9.255788	1.049129	1477010444700000 	9.361717	1.202229	5.022799	1.030819	5.12748453
L	10.04839	1.445978	1477010444800000 	9.862544	1.311179	4.989224	1.147935	5.119581124
L	10.24922	1.459068	1477010444900000 	10.35979	1.432101	4.95106	1.270101	5.111374734
L	10.73126	1.452653	1477010445000000 	10.85299	1.565486	4.907936	1.397008	5.102888117
L	11.58696	1.614624	1477010445100000 	11.34161	1.711793	4.859477	1.528318	5.094141009
L	11.77877	1.745907	1477010445200000 	11.82511	1.871443	4.805313	1.663664	5.08515594
L	12.32259	1.783533	1477010445300000 	12.30289	2.04482	4.745079	1.802651	5.075955609
L	12.59241	2.175092	1477010445400000 	12.77433	2.232269	4.678422	1.94485	5.066564312
L	13.08745	2.407081	1477010445500000 	13.23878	2.434087	4.604997	2.089806	5.057003707
L	13.83597	2.624793	1477010445600000 	13.69552	2.650527	4.52448	2.237032	5.04729942
L	14.21055	2.942051	1477010445700000 	14.14385	2.88179	4.436565	2.386012	5.037475783
L	14.46161	2.90734	1477010445800000 	14.583	3.128024	4.34097	2.536202	5.027558167
L	15.02608	3.506701	1477010445900000 	15.0122	3.389323	4.237439	2.687028	5.017570005
L	15.52355	3.829364	1477010446000000 	15.43063	3.665719	4.125748	2.837893	5.007537642
